month,year,department,employee_count,product_revenue,service_revenue,subscription_revenue,total_revenue,salary_cost,bonus_cost,benefits_cost,infrastructure_cost,marketing_cost,rd_cost,admin_cost,total_expense,gross_profit,operating_profit,tax,net_profit,revenue_per_employee,cost_per_employee
1,2024,Finance,155,1706778,588311,237067,2532156,842115,111133,79465,161058,57955,286156,81152,1619034,1242827,913122,182624,730498,16336,10445
2,2024,Engineering,208,1896323,983515,251869,3131707,1931904,129313,162190,79642,71874,253787,40855,2669565,866374,462142,92428,369714,15056,12834
3,2024,Finance,215,900006,682421,497152,2079579,1189380,93309,76310,160104,87580,211518,95611,1913812,518577,165767,33153,132614,9672,8901
4,2024,Finance,230,1483669,984651,384271,2852591,1868520,257805,111646,246437,29465,266389,51894,2832156,471245,20435,4087,16348,12402,12313
5,2024,Engineering,109,557201,315420,327897,1200518,1170006,125538,92019,170557,140587,206661,93832,1999200,-346706,-798682,0,-798682,11013,18341
6,2024,Data & AI,195,1811923,355185,265373,2432481,2182050,156583,168279,227389,68034,219097,38468,3059900,-196055,-627419,0,-627419,12474,15691
7,2024,Product,292,1163062,715147,161845,2040054,1681336,89415,138740,183261,63316,317868,70841,2544777,-142411,-504723,0,-504723,6986,8714
8,2024,Operations,151,933278,905863,493219,2332360,1578403,163249,83265,205867,44504,188713,53622,2317623,359377,14737,2947,11790,15446,15348
9,2024,Sales & Marketing,262,1883985,263940,230256,2378181,2609782,327938,152492,61425,70168,359200,55339,3636344,-652226,-1258163,0,-1258163,9077,13879
10,2024,Engineering,218,1017991,836564,185594,2040149,1707158,254074,155246,86862,103297,111175,91832,2509644,134954,-469495,0,-469495,9358,11512
11,2024,HR,145,1073980,344984,494236,1913200,1161450,128672,111820,189579,55544,300088,81485,2028638,262083,-115438,0,-115438,13194,13990
12,2024,Data & AI,218,1592555,508117,275967,2376639,2358106,231338,194879,295520,128527,296491,65478,3570339,-573478,-1193700,0,-1193700,10902,16377
1,2025,Data & AI,180,1050302,693042,313984,2057328,1740240,87891,165756,266185,91140,177835,64485,2593532,-126932,-536204,0,-536204,11429,14408
2,2025,Operations,160,1308678,610901,199302,2118881,1492000,105558,135223,252824,71843,268523,75856,2401827,105534,-282946,0,-282946,13243,15011
3,2025,Customer Support,196,1077440,766239,277709,2121388,2110136,313450,152184,268006,106573,221398,82824,3254571,-478152,-1133183,0,-1133183,10823,16604
4,2025,HR,138,613378,662801,455119,1731298,1479498,127235,119176,258940,89434,228886,62482,2365651,-236026,-634353,0,-634353,12545,17142
5,2025,Data & AI,165,1009942,526048,148068,1684058,932910,94399,78448,232870,116000,218741,86231,1759599,299537,-75541,0,-75541,10206,10664
6,2025,Finance,256,1707594,284329,211582,2203505,2283264,163660,162816,230940,85177,135510,41729,3103096,-446209,-899591,0,-899591,8607,12121
7,2025,Finance,138,781095,521680,178461,1481236,1315002,194667,114876,277606,41406,249935,53213,2246705,-361307,-765469,0,-765469,10733,16280
8,2025,Sales & Marketing,65,1067362,999013,392299,2458674,572325,84053,54318,59572,116496,323627,42777,1253168,1503150,1205506,241101,964405,37825,19279
9,2025,Customer Support,73,1828792,215300,396555,2440647,686857,65391,51355,68720,132559,227157,82851,1314890,1457913,1125757,225151,900606,33433,18012
10,2025,Product,99,1450591,907349,169772,2527712,1009998,111188,74687,142826,63059,263971,38600,1704329,1110917,823383,164676,658707,25532,17215
11,2025,Finance,272,833346,589424,369069,1791839,3017568,198592,187489,270444,54933,277641,47385,4054052,-1773814,-2262213,0,-2262213,6587,14904
12,2025,Customer Support,222,1931190,953567,349452,3234209,2269728,176228,173623,204435,23401,257902,75897,3181214,502144,52995,10599,42396,14568,14329
1,2026,Finance,285,1925500,593265,177116,2695881,2487195,293184,185084,79126,32523,293509,70810,3441431,-163949,-745550,0,-745550,9459,12075
2,2026,Sales & Marketing,237,872526,415050,421047,1708623,2151486,136947,204267,213327,24573,176680,99560,3006840,-832870,-1298217,0,-1298217,7209,12687
3,2026,Sales & Marketing,264,675079,624010,345445,1644534,1848000,224772,117982,79610,129301,243356,84573,2727594,-526432,-1083060,0,-1083060,6229,10331
4,2026,Operations,118,635869,467250,396257,1499376,946950,81124,49646,217676,108696,398311,68478,1870881,-63561,-371505,0,-371505,12706,15854
5,2026,Customer Support,71,1240115,868827,347958,2456900,637935,66904,54324,179947,34403,234531,43707,1251751,1404487,1205149,241029,964120,34604,17630
6,2026,Customer Support,104,845652,443968,346735,1636355,918216,73325,52659,162954,43725,215804,52241,1518924,339381,117431,23486,93945,15734,14605
7,2026,Operations,155,1727647,247062,460198,2434907,1269915,117504,109827,231440,38732,376345,43752,2187515,557207,247392,49478,197914,15709,14113
8,2026,Finance,191,1780365,661158,291379,2732902,2174917,320564,198114,220321,24446,298609,61588,3298559,39055,-565657,0,-565657,14308,17269
9,2026,Operations,215,1970967,304975,270072,2546014,2577850,269686,161131,201185,143807,104121,56839,3514619,-337142,-968605,0,-968605,11841,16347
10,2026,HR,166,1264209,311251,339572,1915032,1605054,101806,86205,155855,30360,204977,38257,2222514,-50854,-307482,0,-307482,11536,13388
11,2026,Engineering,239,862923,899888,315111,2077922,2553237,210909,190271,236720,103597,344293,74693,3713720,-1056328,-1635798,0,-1635798,8694,15538
12,2026,Engineering,191,1649245,950353,142671,2742269,1490946,76932,149038,267253,109428,120141,96559,2310297,863929,431972,86394,345578,14357,12095
1,2027,Finance,266,734664,763275,229223,1727162,2712136,286861,175792,173999,54129,170615,83230,3656762,-1329588,-1929600,0,-1929600,6493,13747
2,2027,Engineering,291,1470188,513548,312326,2296062,2859075,393414,225826,216485,100868,332921,84291,4212880,-1112419,-1916818,0,-1916818,7890,14477
3,2027,Engineering,260,1157901,424379,291724,1874004,1862640,195771,180428,229419,35437,236145,37362,2777202,-454200,-903198,0,-903198,7207,10681
4,2027,Operations,119,828323,350805,347658,1526786,968065,63890,96358,220772,73680,390749,39190,1852704,-52800,-325918,0,-325918,12830,15568
5,2027,Engineering,201,1854654,899103,300129,3053886,1855833,193344,128994,249115,141597,342757,46842,2958482,606181,95404,19080,76324,15193,14718
6,2027,Customer Support,264,820820,504240,426896,1751956,3142920,208548,181245,76343,119895,218239,65279,4012469,-1685546,-2260513,0,-2260513,6636,15198
7,2027,Product,175,1935413,217375,482292,2635080,1946875,158923,132518,77846,95922,240668,62369,2715121,369691,-80041,0,-80041,15057,15514
8,2027,Operations,278,890829,544543,213618,1648990,2352158,289661,154159,236290,98043,167649,78829,3376789,-1107107,-1727799,0,-1727799,5931,12146
9,2027,Engineering,254,1644885,287506,468712,2401103,2309622,231089,205280,72821,42874,325688,52819,3240193,-307028,-839090,0,-839090,9453,12756
10,2027,Finance,103,638005,908248,209105,1755358,820807,107450,42911,220289,129359,174862,64845,1560523,539400,194835,38967,155868,17042,15150
11,2027,Operations,265,1121593,483242,430076,2034911,2556720,346473,202142,260728,54438,230254,51630,3702385,-1012791,-1667474,0,-1667474,7678,13971
12,2027,Product,120,912452,748905,403255,2064612,930240,135074,78032,256796,95386,116285,30157,1641970,761291,422642,84528,338114,17205,13683
1,2028,Data & AI,122,1358377,773061,298319,2429757,1211826,180154,113072,265245,127536,385861,63813,2347507,566825,82250,16450,65800,19916,19241
2,2028,Product,227,1584480,981387,244401,2810268,1398093,115842,117807,205436,78596,343940,57118,2316832,862799,493436,98687,394749,12380,10206
3,2028,Engineering,215,1914927,453666,311123,2679716,1346330,195839,74356,64128,102104,170840,31042,1984639,1098418,695077,139015,556062,12463,9230
